colct_stdde,sle_site_domn,prices_prdlst_id,prices_prdlst_nm,goods_nm,anals_trget_pc,job_id
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,작은완두콩과당근_200G_TESCO,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,중국_웨이지터하반채(짜사이)_328G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,진양_팥_3KG,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,@오뚜기_파인애플_850G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,_맥케이블루베리&블랙커런트쨈_340G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,_인도미치킨커리향라면_80G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,동원_깐포도_400G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,_인도미미고랭_80G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,@샘표_우리엄마명이절임_70G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,프랑스_샹달프블루베리잼_170G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,동원_Dole파인애플_836G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,_맥케이딸기잼_340G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,대두_화과방 캔국산_850G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,@프레스코_후르츠칵테일_820G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,프레스코_케이퍼썰파인_110G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,프레스코_딜피클슬라이스_550G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,_퀴네칵테일코니숑(꼬마오이피클)_180G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,프레스코_할라페뇨슬라이스_540G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,오뚜기_황도_400G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,_할라피뇨슬라이스_230G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,_몬코코넛밀크_400ML,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,델몬트_후르츠칵테일_3KG,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,동원_황도슬라이스_800G,NA,
2015-07-01,www.homeplus.co.kr,A016160,과일가공품,진양_팥_475G,NA,
