colct_stdde,sle_site_domn,prices_prdlst_id,prices_prdlst_nm,goods_nm,anals_trget_pc,job_id
2020-07-01,www.interpark.com,A017230,마늘,20년 해풍맞고 자란 전남 무안 햇 양파_ 자색양파10kg,15900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[농협] 친환경 깐마늘 500g,10350.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[농협] 친환경 깐마늘 1kg,19350.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[농협] 친환경 당근 500g,3410.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[농협] 친환경 깐마늘 200g,4450.000,18830
2020-07-01,www.interpark.com,A017230,마늘,적양파 (1등) 17kg,13500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,적양파 (1등) 10kg,9900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,양파 반반 (1등) 17kg,17500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,양파 반반 (1등) 10kg,12000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,양파 반반 (1등) 5kg,7900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,양파 반반 (1등) 2kg,5800.000,18830
2020-07-01,www.interpark.com,A017230,마늘,베트남통고추(땡초 월남초) 1kg 업소용 식자재,16220.000,18830
2020-07-01,www.interpark.com,A017230,마늘,한진 코우 백초생강1.3KG,3230.000,18830
2020-07-01,www.interpark.com,A017230,마늘,해품정 백색 초생강1.3KG,3040.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[오창농협] 친환경 깐마늘 200g,4540.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[오창농협] 친환경 깐마늘 500g,9950.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[오창농협] 친환경 깐마늘 1kg,18950.000,18830
2020-07-01,www.interpark.com,A017230,마늘,피자토핑용 새송이버섯 2K 식당용 칠리소스 키위드레,9870.000,18830
2020-07-01,www.interpark.com,A017230,마늘,왕가네 냉동 다진마늘1KG,3700.000,18830
2020-07-01,www.interpark.com,A017230,마늘,승진맷돌표 생강분350g,9800.000,18830
2020-07-01,www.interpark.com,A017230,마늘,베트남고추가루 땡초 가루 매운 청양 고추가루 1kg 함,17810.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 표고버섯가루(이슬 1K)X10 | 표고종균 qjtjtzos,418260.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청양고추가루 수입청양고추가루 맛있게매운 청양고추,17810.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 냉동 청양고추 슬 1KX10 | 슬 ekdrms,48560.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 고구마무스(네오스 1K)X12 | 간편식사 dkswn,85480.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 표고버섯분태(5mm 70g) |,12070.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 고추부각(황비홍 452g) | 고추씨 rhcnTl,12660.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 깐마늘(대 1.9K) | 부추 Rotdlv,21490.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 깐마늘(소 1.9K) | 마늘쫑 aksmfghks,19570.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 그라나파다노 샐러드(소스포함)175gX12 | 셀러드,50100.000,18830
2020-07-01,www.interpark.com,A017230,마늘,무료 샐러드믹스(양상추 방울토마토)85gX12 | 소시지,26370.000,18830
2020-07-01,www.interpark.com,A017230,마늘,국산 고추씨 소스용 국물용 1kg 업소용 식당용 식자재,4580.000,18830
2020-07-01,www.interpark.com,A017230,마늘,다진마늘(옛날 1K)/sodehdekwlsaksmf,4890.000,18830
2020-07-01,www.interpark.com,A017230,마늘,다진마늘(옛날 1K)X6/rkTmdhqntl,20010.000,18830
2020-07-01,www.interpark.com,A017230,마늘,다진마늘(옛날 1K)X12/djqthdydtlrch,38680.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(B급 1.9K)X8 식당용 다진마늘 신선간마늘 마늘,55460.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(B급 1.9K) 급식용 천연향신료 신선간마늘 다진,8470.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(A급 1.9K)X8 식자재 천연향신료 마늘다지기 마,72170.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(A급 1.9K) 업소용 천연향신료 생간마늘 마늘가,10880.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(소 1.9K)X8 식당용 알마늘 생마늘,72170.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(소 1.9K) 급식용 알마늘 신선마늘 마늘가루,10880.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(대 1.9K)X8 식자재 통마늘 신선마늘 알마늘,83480.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(대 1.9K) 식자재 알마늘 풋마늘,12300.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘꼬치(25gx20)X14 급식용 마늘쫑꼬치 마늘꼬치구이,140140.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘꼬치(25gx20)X4 급식용 마늘쫑꼬치 즉석요리 간편,41570.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘꼬치(25gx20) 식자재 통마늘꼬치 마늘꼬치구이 간,12130.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(태한 1K)X9 식자재 냉동마늘,30620.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(태한 1K) 급식용 다진마늘,5040.000,18830
2020-07-01,www.interpark.com,A017230,마늘,중식용 고추가루 1kg 히트상품 업소용식자재,13770.000,18830
2020-07-01,www.interpark.com,A017230,마늘,김치용 고추가루 1kg 히트상품 업소용식자재,13770.000,18830
2020-07-01,www.interpark.com,A017230,마늘,오늘의딜 바다샘 0033 한국전통 고추부각 60g,2890.000,18830
2020-07-01,www.interpark.com,A017230,마늘,다진생강(1K),14730.000,18830
2020-07-01,www.interpark.com,A017230,마늘,배동바지 국내산 일등 양파 1망,7990.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[친환경팔도] 국내산 애플민트 생잎 50g,8980.000,18830
2020-07-01,www.interpark.com,A017230,마늘,소디프 냉동다진마늘 1kg,2900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,소디프 냉동다진마늘 1kgx2개 무료배송,8300.000,18830
2020-07-01,www.interpark.com,A017230,마늘,소디프 냉동청양고추 슬라이스 1kgx2개 무료배송,9900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(대 1.9K),13830.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(소 1.9K),12040.000,18830
