collectDatetime,jobId,nsMallName,productName,sellPrice,sequenceInPage,deliveryFee,collectUrl,품절퇴장여부,비고
2.02003E+13,490001,티몬,슈퍼가드 손 세정제 300ml [마스크] KF94 끈조절 블랙 네퓨어 대형 성인용 황사마스크 - 티몬,6420,1,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,품절,
2.02003E+13,490001,쿠팡,파인텍 네퓨어 2급 방진마스크 530 각종바이러스마스크 - 쿠팡,3250,2,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,퇴장,
2.02003E+13,490001,까사앤펫,kf94 파인텍 네퓨어 대형마스크 & 휴대용 손소독제100ml 약국 코로나19 코스트코 이마트 다이소 - 까사앤펫,3980,3,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,품절,
2.02003E+13,490001,이주이스토어,미세먼지마스크 KN95 50매 보건용 웰킵스 아에르 덴탈 크리넥스 네퓨어 애니가드 참조은 프리텍 일회용 황사마스크50매 100매 - 이주이스토어,131500,4,7500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,,KN95
2.02003E+13,490001,대국민활력소,[10묶음] BFE95 필터 면마스크 블랙 우한폐렴 코로나 우체국 아에르 크리넥스 상공양행 국대 KF94 KF80 휴안청 네퓨어 웰킵스 마스크 X - 대국민활력소,32800,5,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,,면
2.02003E+13,490001,티몬,[마스크] KF94 끈조절 블랙 네퓨어 대형 성인용 황사마스크 황사 방역 미세먼지 마스크 KF94 - 티몬,3220,6,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,품절,
2.02003E+13,490001,이주이스토어,프리미엄 마스크 KN95 KF94 KF80 마스크 50매 웰킵스 아에르 덴탈 크리넥스 네퓨어 애니가드 참조은 프리텍 일회용 황사 마스크50매 100매 - 이주이스토어,163500,7,7500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,,KN95
2.02003E+13,490001,대국민활력소,"[1+2] 입체형 3D 필터교체 면마스크, 우한폐렴 코로나 우체국 아에르 크리넥스 KF94 KF80 상공양행 휴안청 네퓨어 웰킵스 국대 마스크 X - 대국민활력소",10980,8,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,,면
2.02003E+13,490001,티몬,네퓨어 대형 블랙 KF94 1개 [마스크] KF94 끈조절 블랙 네퓨어 대형 성인용 황사마스크 - 티몬,3220,9,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,퇴장,
2.02003E+13,490002,정품 마켓,kf94 마스크 모음 kf80 미세먼지 소형 중형 대형 [우한 코로나19 예방] - 정품 마켓,5900,1,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC,퇴장,
2.02003E+13,490003,헬시버퍼팜,"일동 푸른숲 황사마스크,더스논, 동아제약황사방역용마스크kf94, 유한양행해피홈마스크 Kf94 - 헬시버퍼팜",5900,1,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8D%94%EC%8A%A4%EB%85%BC+KF94&cat_id=&frm=NVSHATC,퇴장,
2.02003E+13,490003,JRKR,[동아제약] 더스논 황사마스크 KF94 대형 1개입 PM2.5 + [누리케어] 손소독 물티슈 / [동남] 알콜프렙패드(알콜솜) / [아이깨끗해] 핸드워시 //살균 항균 소독 - JRKR,14450,2,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8D%94%EC%8A%A4%EB%85%BC+KF94&cat_id=&frm=NVSHATC,,묶음
