colct_stdde,sle_site_domn,prices_prdlst_id,goods_nm,shop_nm,anals_trget_pc,Price,expsr_ordr,job_id,kf,Rand
2020-05-25,search.shopping.naver.com,F012050,끈조절 가능 뉴네퓨어 황사방역 마스크 KF94 대형 소형 마스크 - 내니클린,내니클린,2900,2900,10,490001,94,6.96002E-05
2020-05-12,search.shopping.naver.com,F012050,건영크린텍 10매건영 KF94 미세먼지 마스크 대형 white 5매입2 - G마켓,G마켓,29000,2900,80,490015,94,8.14248E-05
2020-05-28,search.shopping.naver.com,F012050,[네퓨어] 파인텍 네퓨어 KF94 대형(5매입x1개) 황사 미세먼지 끈조절 마스크 - 위메프,위메프,13000,2600,37,490008,94,8.99381E-05
2020-04-17,search.shopping.naver.com,F012050,국산 kf80 마스크 대형 - 도그몰,도그몰,3000,3000,29,490013,80,0.000102884
2020-03-28,search.shopping.naver.com,F012050,KF94 마스크 5매 대형/소형/성인/어린이 쉐도우 문 미세먼지 마스크 제로베이 도부마스크 201보건용마스크 뉴네퓨어 황사방역용마스크 - 폴보스티몰,폴보스티몰,19500,3900,21,490001,94,0.000309551
2020-04-11,search.shopping.naver.com,F012050,KF94 (초등생 ~ 얼굴 작은 성인여성) 황사마스크 1개 (1매입) x 25개 (총 25매) - 동백꽃상회,동백꽃상회,69350,2774,12,490008,94,0.000359342
2020-04-08,search.shopping.naver.com,F012050,미소 (당일출고)KF94 마스크 국산 미세먼지 대형10매입 - 옥션,옥션,29040,2904,6,490015,94,0.000464646
2020-02-18,search.shopping.naver.com,F012091,KF94 동아제약 마스크 더스논 소형 황사 감기 - G마켓,G마켓,2630,,19,490003,94,0.00051715
2020-05-09,search.shopping.naver.com,F012050,코지 KF94 마스크 대형 5매입 블랙 - 인터파크,인터파크,10960,2192,78,490015,94,0.000537439
2020-04-25,search.shopping.naver.com,F012050,[마스크] 국대 마스크 KF94 5입(대형흰색) - LOHBs롭스,LOHBs롭스,15000,3000,37,490015,94,0.000561007
2020-02-12,search.shopping.naver.com,F012091,미키마우스 우환폐렴 유한덴탈 크리넥스 입체 약국 일회용 마스크 kf94 낱개 1개 - 3d삼디몰,3d삼디몰,5900,,69,490008,94,0.00063218
2020-02-12,search.shopping.naver.com,F012091,마운틴트리스포츠 그린데이 KF94 황사방역용마스크 대형 - G9,G9,3130,,31,490008,94,0.000643472
2020-05-13,search.shopping.naver.com,F012050,뉴네퓨어 황사방역마스크 kf94 (5개입) (끈 조절기능) - 위메프,위메프,19000,3800,16,490001,94,0.000764495
2020-05-10,search.shopping.naver.com,F012050,국산 KF80 대형 황사방역마스크 1개 - 보건몰닷컴,보건몰닷컴,2800,2800,38,490013,80,0.000791109
