colct_stdde,sle_site_domn,prices_prdlst_id,goods_nm,shop_nm,anals_trget_pc,Price,expsr_ordr,job_id,kf
2020-05-14,search.shopping.naver.com,F012050,올가드 가족사랑 KF94 황사 미세먼지 마스크 대형 1매 개별포장 4중구조 초정전 필터 - 티몬,티몬,2000,2000,78,490015,94
2020-03-24,search.shopping.naver.com,F012050,코로나 대응 마스크 대형 KF94 5매 국내생산당일발송Z - G마켓,G마켓,22210,4442,58,490015,94
2020-02-16,search.shopping.naver.com,F012091,참좋은 주니어 방한대 [백색] 1개 어린이 마스크 성인마스크 KF94 황사마스크 어린이캐릭터마스크 면마스크 방한 무형광 - 티몬,티몬,2000,,101,490008,94
2020-04-27,search.shopping.naver.com,F012050,[아레카] 아레카 KF94 미세먼지 마스크 / 그레이 대형 1팩 (5매입) - 위메프,위메프,14990,2998,79,490015,94
2020-03-21,search.shopping.naver.com,F012050,★★★ 소형 KF94 (어린이용) 마스크 1개 (5매입) x 3개 (총15매입) - 동백꽃상회,동백꽃상회,48000,3200,3,490008,94
2020-05-17,search.shopping.naver.com,F012050,[이노센트] 이노센트 미세먼지마스크 KF80 대형 - 위메프,위메프,3200,3200,16,490013,80
2020-04-10,search.shopping.naver.com,F012050,애니프리 KF80 필터 사용 황사 마스크 10매/당일출고 미세먼지 국내배송 방역 - 건강한 라이프,건강한 라이프,24900,2490,44,490013,80
2020-05-22,search.shopping.naver.com,F012050,(당일출고) 코지 KF94 마스크 대형 5매입 블랙 - G마켓,G마켓,10950,2190,69,490015,94
2020-03-06,search.shopping.naver.com,F012050,에버그린 KF99 황사 방역 마스크 - 착한안전,착한안전,8900,,38,490010,99
2020-03-21,search.shopping.naver.com,F012050,"퓨어365 황사마스크KF94(대형, 5매입) 제품수령후, 구매확정 부탁드립니다 - 반짝반짝이네",반짝반짝이네,23000,4600,43,490015,94
2020-03-03,search.shopping.naver.com,F012050,[더샵스토어] 인기 프리미엄 아이비스 KF80먼지마스크(SP) - 위메프,위메프,7760,,27,490013,80
2020-04-08,search.shopping.naver.com,F012050,퓨어케어 KF94마스크(대형) 10매 - 위메프,위메프,29950,2995,62,490015,94
2020-05-16,search.shopping.naver.com,F012050,KF94마스크 대형(30매입) 식약처허가 합리적인 마스크 - 펜사랑,펜사랑,68500,2283.333333,25,490015,94
2020-05-14,search.shopping.naver.com,F012050,힐메이드 황사마스크 KF94 화이트(대형) - 메디앙스,메디앙스,2170,2170,42,490015,94
2020-03-31,search.shopping.naver.com,F012050,파인텍 뉴네퓨어 황사마스크 KF94 5매입 흰색 - G마켓,G마켓,20830,4166,26,490001,94
2020-05-13,search.shopping.naver.com,F012050,국산 KF80 맑은하늘 황사마스크 / 일회용 마스크/방역마스크 (소량 가능 / 300개이상 배송비무료) - 기프트위키,기프트위키,2673,2673,33,490013,80
2020-03-13,search.shopping.naver.com,F012050,코로나 대응 마스크 대형 KF94 5매 국내생산당일발송Z - W커머스,W커머스,33000,6600,47,490015,94
2020-02-28,search.shopping.naver.com,F012091,초 미세먼지 마스크 - 하이가드 SF-80 / KF94 식약처인증 일동제약 푸른숲 황사마스크 /동아제약 더스논 파이브와이 우한 폐렴 바이러스 예방 - 세상의모든안전화,세상의모든안전화,3500,,2,490003,94
2020-05-22,search.shopping.naver.com,F012050,애니가드 국내산 KF80 마스크 대형 25매 - 옥션,옥션,59000,2360,70,490013,80
2020-05-03,search.shopping.naver.com,F012050,랜덤배송 KF94 대형 마스크 1개(5매)x3개 (총 15매) - 쿠팡,쿠팡,30000,2000,26,490008,94
2020-02-18,search.shopping.naver.com,F012091,유한킴벌리 크리넥스 KF80 황사용마스크 소형 - 오스틴 천연비누,오스틴 천연비누,2150,,14,490009,80
2020-05-02,search.shopping.naver.com,F012050,판촉물 인쇄 제작 [국산]KF80마스크 대형/개별포장 답례품 기념품 행사기념 - 대한기념품,대한기념품,2640,2640,30,490013,80
2020-04-28,search.shopping.naver.com,F012050,건영크린텍 KF94마스크 대형 (화이트) 10매 - 푸름웰니스,푸름웰니스,21400,2140,15,490015,94
2020-03-27,search.shopping.naver.com,F012050,국산 kf80 대형 마스크 / 우한코로나 - 옥션,옥션,4900,4900,58,490013,80
2020-03-02,search.shopping.naver.com,F012050,더스논 KF94 마스크 코로나바이러스 예방 황사 미세먼지 입자성유해물질 차단(소형) - 블랑쉬마켓,블랑쉬마켓,4500,,1,490003,94
2020-03-19,search.shopping.naver.com,F012050,(당일출고)국산 KF94 마스크 미세먼지 대형 10매입 - G마켓,G마켓,48230,4823,2,490015,94
2020-04-29,search.shopping.naver.com,F012050,QUQU 더안심 황사 미세먼지 방역 마스크 KF94 - 정품파트너점,정품파트너점,2300,2300,4,490008,94
2020-03-11,search.shopping.naver.com,F012050,KF94 소형 5매입 또는 개별포장 1개 - 11번가,11번가,19500,3900,21,490008,94
2020-05-14,search.shopping.naver.com,F012050,기업 판촉물 제작 [국산]KF80마스크 대형/개별포장 답례품 기념품 인쇄 단체선물 행사 - 대한스토어,대한스토어,2640,2640,26,490013,80
2020-05-18,search.shopping.naver.com,F012050,뉴크린웰 스타일 KF80 마스크 대형 코로나19 국산 황사 개별포장 1매입 - 더쌈,더쌈,1880,1880,25,490013,80
2020-03-28,search.shopping.naver.com,F012050,국내생산 코로나19 미세먼지차단 황사마스크 KF94 블랙 15매 대형 - 종로강남팜,종로강남팜,60000,4000,50,490015,94
2020-04-08,search.shopping.naver.com,F012050,"KF94 황사방역마스크 개별대형1개입/끈조절가능,국산, 식약처인증 - 반짝반짝이네",반짝반짝이네,3900,3900,5,490015,94
2020-05-02,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 늘푸른마스크 - 인터파크,인터파크,4150,4150,47,490008,94
2020-05-22,search.shopping.naver.com,F012050,삼공오공 개별포장 KF80 마스크/황사마스크/미세먼지마스크/ISSM - 롯데홈쇼핑,롯데홈쇼핑,2070,2070,33,490013,80
2020-05-29,search.shopping.naver.com,F012050,써니데이 KF80 마스크 대형 화이트 개별포장 - 리빙굿즈8949,리빙굿즈8949,1780,1780,64,490013,80
2020-05-21,search.shopping.naver.com,F012050,건영크린텍 KF94 마스크대형 5매X3봉총15매 - CJmall,CJmall,35060,2337.333333,60,490015,94
2020-05-12,search.shopping.naver.com,F012050,[국산]KF80마스크 대형/개별포장 계절알뜰판촉물 - 대한판촉,대한판촉,2640,2640,21,490013,80
2020-04-05,search.shopping.naver.com,F012050,숨쉬Go KF94 방역 미세먼지 마스크 (대형X 낱개 1개) 화이트색상 - 미세먼지없는 깨끗한 숨 마스크 - gamezend,gamezend,4900,4900,1,490008,94
2020-03-27,search.shopping.naver.com,F012050,당일배송 끌라레루트 보건용 마스크 KF80 블랙 1매 - 쿠팡,쿠팡,4200,4200,38,490013,80
